,N,iter_lev,Voronoi,Distances,Drawing,Saving figure,dpi
0,1000,2,0.8637270927429199,0.10570788383483887,4.706956624984741,1.8243131637573242,300
1,1000,2,0.8118274211883545,0.09474635124206543,4.499396800994873,1.9158763885498047,300
2,1000,2,0.865281343460083,0.0957183837890625,4.457543611526489,1.9637477397918701,300
3,1000,2,0.8826735019683838,0.09574389457702637,4.4847307205200195,1.8819668292999268,300
4,1000,2,0.86468505859375,0.09674334526062012,6.708562850952148,3.23237943649292,300
5,1000,2,2.826131582260132,0.40192604064941406,12.644179821014404,3.3128037452697754,300
6,1000,2,1.312110185623169,0.12449479103088379,7.807398319244385,5.750730037689209,300
7,1000,2,1.9118874073028564,0.24135184288024902,12.53155779838562,4.03833794593811,300
8,1000,2,3.114917278289795,0.1288902759552002,14.603965759277344,5.901309013366699,300
9,1000,2,1.426729440689087,0.12875032424926758,9.346953392028809,4.0304436683654785,300
10,2000,2,3.14815616607666,0.3392782211303711,19.146501779556274,5.186027765274048,300
11,2000,2,4.298041820526123,0.5561535358428955,13.916535377502441,3.7537131309509277,300
12,2000,2,5.344781160354614,0.6839523315429688,27.913819551467896,7.925822496414185,300
13,2000,2,5.508516311645508,0.6647439002990723,23.31520676612854,6.843843698501587,300
14,2000,2,4.817866325378418,0.7608425617218018,24.6788010597229,6.301379442214966,300
15,2000,2,5.299457550048828,0.4425232410430908,27.168837308883667,9.88175082206726,300
16,2000,2,6.263146162033081,0.6471192836761475,22.614146947860718,7.924468278884888,300
17,2000,2,4.753058195114136,0.4259910583496094,24.388689041137695,6.3729307651519775,300
18,2000,2,4.854357719421387,0.5148353576660156,23.930084466934204,5.694287538528442,300
19,2000,2,4.743847608566284,0.49193716049194336,25.309401273727417,6.002810478210449,300
20,3000,2,7.643712997436523,1.390336513519287,25.72817873954773,3.585151433944702,300
21,3000,2,3.4813904762268066,0.3900916576385498,14.036645889282227,3.193054437637329,300
22,3000,2,3.5447282791137695,0.39211392402648926,14.888025283813477,3.6132500171661377,300
23,3000,2,3.241863489151001,0.40677857398986816,14.638054847717285,3.155958652496338,300
24,3000,2,3.3719255924224854,0.3880767822265625,14.054064750671387,3.308823585510254,300
25,3000,2,3.885009527206421,0.41548752784729004,13.9975745677948,3.3445305824279785,300
26,3000,2,3.1725144386291504,0.4726905822753906,14.514851331710815,3.5131447315216064,300
27,3000,2,3.382873058319092,0.444164514541626,14.347602605819702,9.584127426147461,300
28,3000,2,7.231980085372925,0.9645974636077881,34.17252779006958,7.998754024505615,300
29,3000,2,9.395325899124146,1.0366160869598389,33.40362906455994,7.122753858566284,300
30,4000,2,10.928556442260742,2.0144670009613037,42.993754863739014,9.019013404846191,300
31,4000,2,12.579116106033325,1.7432582378387451,50.116942405700684,11.50260329246521,300
32,4000,2,12.347741603851318,1.5507166385650635,52.566324949264526,12.047225713729858,300
33,4000,2,13.350515127182007,1.5970001220703125,52.941696882247925,12.624152898788452,300
34,4000,2,16.29968786239624,2.2322757244110107,52.39591431617737,11.778292179107666,300
35,4000,2,11.60072135925293,1.5872128009796143,50.89312529563904,11.661126613616943,300
36,4000,2,13.017215490341187,1.4006235599517822,51.148277759552,9.587079048156738,300
37,4000,2,10.807849407196045,1.5986683368682861,48.07381200790405,8.93123459815979,300
38,4000,2,12.3744637966156,1.2791502475738525,47.32352566719055,10.88047981262207,300
39,4000,2,10.660094261169434,1.2776598930358887,49.90788292884827,9.118727922439575,300
40,5000,2,15.011827230453491,2.3752753734588623,59.641053199768066,9.783724308013916,300
41,5000,2,14.04804801940918,2.690974235534668,58.7906231880188,11.944735527038574,300
