,N,iter_lev,Voronoi,Distances,Drawing,Saving figure,dpi,Total time
0,1000,2,0.2630720138549805,0.0,0.9559147357940674,1.2882351875305176,300,3.218986749649048
1,1000,2,0.2988524436950684,0.015663862228393555,0.8332741260528564,1.2840375900268557,300,3.1477904319763184
2,1000,2,0.3351836204528809,0.0,0.8399982452392578,1.2426869869232178,300,3.1751818656921387
3,1000,2,0.2886054515838623,0.0,0.8333418369293213,1.3003220558166504,300,3.1219472885131836
4,1000,2,0.2870914936065674,0.015619277954101562,0.8176441192626953,1.3097865581512451,300,3.1203548908233643
5,1000,2,0.27678799629211426,0.015651941299438477,0.8725495338439941,1.296491622924805,300,3.164989471435547
6,1000,2,0.29027438163757324,0.0,0.974040985107422,1.277681827545166,300,3.264315366744995
7,1000,2,0.3066389560699463,0.006980180740356445,1.111987590789795,1.3590853214263916,300,3.4256067276000977
8,1000,2,0.2958805561065674,0.006981372833251953,0.9075925350189208,1.4131159782409668,300,3.2104544639587402
9,1000,2,0.25910449028015137,0.015647172927856445,0.9697713851928712,1.3552641868591309,300,3.244523048400879
10,2000,2,0.5105884075164795,0.02095651626586914,1.6238510608673096,1.4390158653259275,300,4.155395984649658
11,2000,2,0.4156088829040527,0.01565694808959961,2.161700487136841,1.6408720016479492,300,4.592966318130493
12,2000,2,0.4791414737701416,0.022165536880493164,1.6198201179504397,2.107558012008667,300,4.121127128601074
13,2000,2,0.5892865657806396,0.01231074333190918,2.202569007873535,2.380931854248047,300,4.804166316986084
14,2000,2,0.7017433643341064,0.022127866744995117,2.120798826217652,1.4378397464752195,300,4.844670057296753
15,2000,2,0.4514925479888916,0.01566171646118164,1.4883897304534912,1.4888365268707275,300,3.9555439949035645
16,2000,2,0.7159006595611572,0.015659809112548828,1.4663760662078855,1.425750732421875,300,4.197936534881592
17,2000,2,0.4323492050170897,0.015656709671020508,1.4349532127380369,1.4250211715698242,300,3.8829591274261475
18,2000,2,0.4168550968170166,0.01566004753112793,1.4727005958557131,1.51975679397583,300,3.9052157402038574
19,2000,2,0.5326189994812012,0.031244993209838867,1.7267372608184814,1.5344109535217283,300,4.2906012535095215
20,3000,2,0.5857234001159668,0.03124833106994629,2.259362936019897,1.767412185668945,300,4.8763346672058105
21,3000,2,0.5814814567565918,0.032909393310546875,2.180026292800904,1.5219321250915527,300,4.794417142868043
22,3000,2,0.5652954578399658,0.03127312660217285,2.026673555374145,1.5822980403900146,300,4.623242139816284
23,3000,2,0.5224940776824951,0.024091720581054688,2.1245577335357666,1.5503270626068115,300,4.671143531799316
24,3000,2,0.5170021057128906,0.03126811981201172,2.0474531650543213,1.5558254718780518,300,4.595723390579224
25,3000,2,0.5705029964447021,0.03124761581420898,2.05838942527771,1.5575838088989258,300,4.660140037536621
26,3000,2,0.5255959033966064,0.032912254333496094,2.16545844078064,1.58009672164917,300,4.723966598510742
27,3000,2,0.5133204460144043,0.03128790855407715,2.0418317317962646,1.6357665061950684,300,4.586440086364746
28,3000,2,0.5934727191925049,0.03188037872314453,2.3317434787750244,1.7687482833862305,300,4.957096576690674
29,3000,2,0.5327627658843994,0.026227235794067383,2.4145848751068115,1.601876974105835,300,4.973574876785278
30,4000,2,0.8131465911865234,0.05083274841308594,3.0122625827789307,1.7670917510986328,300,5.87624192237854
31,4000,2,0.9172863960266112,0.04787492752075195,2.5787341594696045,1.5806622505187988,300,5.543895483016968
32,4000,2,0.9023208618164062,0.05286550521850586,2.9855959415435787,1.7454817295074463,300,5.940782308578491
33,4000,2,0.8665735721588135,0.031244277954101562,3.196222305297852,1.805492877960205,300,6.094040155410767
34,4000,2,0.8860230445861816,0.04686474800109863,3.4395418167114262,1.7059903144836426,300,6.372429609298706
35,4000,2,0.9864323139190674,0.046865224838256836,2.844672441482544,1.7036423683166504,300,5.877969980239868
36,4000,2,0.9647116661071776,0.05337667465209961,2.8226528167724614,1.7020263671875,300,5.840741157531738
37,4000,2,0.8885483741760254,0.04686427116394043,2.844390869140625,1.7194063663482666,300,5.779803514480591
38,4000,2,0.8328657150268555,0.037750244140625,2.9386138916015625,1.688577651977539,300,5.809229850769043
39,4000,2,0.8473677635192871,0.05339503288269043,2.9075307846069336,1.703838586807251,300,5.808293581008911
40,5000,2,0.9614300727844238,0.062489509582519524,3.3773837089538574,1.8088858127594,300,6.401303291320801
41,5000,2,0.9595272541046144,0.05342316627502442,3.3616647720336914,1.822676181793213,300,6.37461519241333
42,5000,2,0.9461867809295654,0.05337810516357422,3.3553621768951416,1.7884604930877686,300,6.354927062988281
43,5000,2,0.948838472366333,0.053377628326416016,3.362046957015991,1.7730164527893066,300,6.36426305770874
44,5000,2,0.9333317279815674,0.0624535083770752,3.3773622512817383,1.7894620895385742,300,6.373147487640381
45,5000,2,0.9537453651428224,0.046869516372680664,3.3397250175476074,1.780249834060669,300,6.34033989906311
46,5000,2,0.9252295494079592,0.046869516372680664,3.3777151107788086,1.8042197227478027,300,6.349814176559448
47,5000,2,0.9490768909454346,0.0533750057220459,3.3865649700164795,1.8826818466186523,300,6.38901686668396
48,5000,2,0.9556643962860109,0.06899428367614746,3.3399314880371094,1.806321382522583,300,6.364590167999268
49,5000,2,0.9686400890350342,0.06249070167541504,3.524336576461792,1.8573143482208248,300,6.555467367172241
50,6000,2,1.2657558917999268,0.07810258865356445,3.9946463108062735,1.8819875717163088,300,7.338504791259765
51,6000,2,1.1255686283111572,0.0689995288848877,3.980370759963989,1.8575034141540527,300,7.174938917160034
52,6000,2,1.1646912097930908,0.06899857521057129,3.8253540992736816,1.8880813121795648,300,7.059043884277344
53,6000,2,1.2872679233551023,0.08461213111877441,3.8723254203796387,1.8828322887420648,300,7.244205474853516
54,6000,2,1.1387267112731934,0.06902503967285156,3.8943271636962886,1.9039535522460933,300,7.102078914642334
55,6000,2,1.0330321788787842,0.06897401809692383,3.941340446472168,1.8729724884033203,300,7.043346643447876
56,6000,2,1.0870721340179443,0.08695626258850098,4.070234298706056,2.07362461090088,300,7.244262695312501
57,6000,2,1.1058900356292725,0.06550168991088867,3.878716230392456,1.9034738540649407,300,7.050107955932617
58,6000,2,1.1341626644134521,0.06902909278869629,3.9410703182220463,1.837838888168335,300,7.144262075424194
59,6000,2,1.1225357055664062,0.07811141014099121,3.847717761993408,1.925536870956421,300,7.048364877700806
60,7000,2,1.4659972190856934,0.0937645435333252,4.411262273788452,1.935556411743164,300,7.971024036407471
61,7000,2,1.4726314544677734,0.07811236381530763,4.734063148498535,1.9732420444488523,300,8.284806966781616
62,7000,2,1.4811077117919922,0.08143281936645508,4.498960733413696,2.75065016746521,300,8.061501264572144
63,7000,2,2.0386745929718018,0.1536262035369873,4.7810845375061035,1.9647963047027588,300,8.973385334014893
64,7000,2,1.4047126770019531,0.0846257209777832,4.558486223220825,2.097517251968384,300,8.047824621200562
65,7000,2,1.611807107925415,0.07811093330383301,4.411247968673706,1.9422187805175781,300,8.101166009902954
66,7000,2,1.503676414489746,0.08465170860290527,4.3107407093048105,1.9404921531677248,300,7.899068832397462
67,7000,2,1.4981648921966553,0.08465147018432617,4.458124876022339,1.925975561141968,300,8.04094123840332
68,7000,2,1.434624433517456,0.08461213111877441,4.5292913913726816,1.9570965766906736,300,8.048527956008911
69,7000,2,1.487443208694458,0.09376287460327147,4.536089897155762,2.0049569606781006,300,8.117295980453491
70,8000,2,1.666409254074097,0.08461976051330566,4.93507981300354,1.9713807106018064,300,8.686108827590942
71,8000,2,1.600055456161499,0.10022091865539552,4.866300106048584,1.9734642505645752,300,8.566576480865479
72,8000,2,1.6353962421417236,0.1002821922302246,5.244578123092651,2.0267109870910645,300,8.9802565574646
73,8000,2,1.5194735527038574,0.10027098655700684,4.959853649139403,1.9887242317199707,300,8.579598188400269
74,8000,2,1.6004867553710938,0.10380268096923828,4.82863974571228,2.1214988231658936,300,8.532929182052612
75,8000,2,1.5248773097991943,0.10028338432312013,4.897619247436523,2.035745143890381,300,8.522779941558838
76,8000,2,1.6883673667907717,0.10024094581604004,4.8284547328948975,1.9892613887786863,300,8.617063045501709
77,8000,2,1.6030638217926023,0.10030841827392578,4.866112470626831,1.9885921478271484,300,8.56948471069336
78,8000,2,1.5780730247497559,0.10427546501159668,4.881716012954712,1.9862532615661617,300,8.564064502716064
79,8000,2,1.5904123783111572,0.10021734237670896,4.875115394592285,1.9923126697540283,300,8.565745115280151
80,9000,2,1.7822740077972412,0.11589336395263672,5.236377000808716,2.0363149642944336,300,9.134544372558594
81,9000,2,1.7189979553222656,0.12244939804077147,5.314166069030762,2.0600409507751465,300,9.155613422393799
82,9000,2,1.6952650547027588,0.11596798896789552,5.35192084312439,2.0891003608703613,300,9.163153886795044
83,9000,2,1.7200350761413574,0.11586475372314453,5.260573863983153,2.042781114578246,300,9.096473693847656
84,9000,2,1.6729109287261963,0.11586952209472655,5.2986271381378165,2.0749433040618896,300,9.08740758895874
85,9000,2,1.7338101863861084,0.11589455604553225,5.245199203491211,2.057580947875977,300,9.094903945922852
86,9000,2,1.7044496536254885,0.11590695381164552,5.383046865463257,2.0516788959503174,300,9.20340347290039
87,9000,2,1.7194774150848389,0.10683178901672363,5.329701900482178,2.1050248146057133,300,9.15601110458374
88,9000,2,1.704101800918579,0.11586284637451172,5.260875940322876,2.053895711898804,300,9.080840587615967
89,9000,2,1.7024595737457275,0.1158597469329834,5.367547750473023,2.120634317398072,300,9.185867071151733
90,10000,2,1.8882322311401367,0.13153290748596191,5.6840126514434814,2.230586290359497,300,9.70377779006958
91,10000,2,1.7629177570343018,0.1470789909362793,5.715428352355957,2.143115520477295,300,9.625425100326538
92,10000,2,1.77360200881958,0.1315133571624756,5.861875772476196,2.1360952854156494,300,9.766991138458252
93,10000,2,1.8200838565826416,0.13154172897338867,5.831179618835449,2.1357436180114746,300,9.78280520439148
94,10000,2,1.7733328342437744,0.1315464973449707,6.87935733795166,4.6909918785095215,300,10.784236669540405
95,10000,2,2.158203125,0.13154029846191406,5.917604446411133,2.189143419265746,300,10.207347869873047
96,10000,2,1.7736225128173828,0.13149285316467285,5.677490711212157,2.0949127674102783,300,9.582606077194214
97,10000,2,1.8921334743499758,0.1223914623260498,6.327279090881348,2.222193479537964,300,10.341804027557373
98,10000,2,2.758974552154541,0.1471688747406006,5.683603525161742,2.0597183704376216,300,10.589746952056885
99,10000,2,1.811014175415039,0.12241744995117188,5.598951578140259,2.0792860984802246,300,9.53238320350647
100,11000,2,1.9512498378753664,0.1471085548400879,6.122565269470215,2.1768784523010254,300,10.220923662185669
101,11000,2,1.9107935428619385,0.13810276985168454,6.147283554077148,2.157616376876831,300,10.196179866790771
102,11000,2,1.8733768463134768,0.14710450172424314,6.100405931472777,2.1582694053649902,300,10.120887279510498
103,11000,2,2.0508286952972408,0.2317483425140381,10.475754499435423,2.9106740951538086,300,14.758331537246702
104,11000,2,2.2482364177703857,0.16363310813903809,7.967276334762572,2.43032169342041,300,12.379145860671997
105,11000,2,2.1396849155426025,0.16147327423095706,6.960057020187378,2.4911410808563232,300,11.261215209960938
106,11000,2,2.2398481369018555,0.17134833335876465,8.118928670883179,2.510165214538574,300,12.530125141143799
107,11000,2,2.3257455825805664,0.15367722511291504,8.547946929931639,2.083275318145752,300,13.02736973762512
108,11000,2,2.0210623741149902,0.13808822631835938,5.884272813796997,2.0832056999206543,300,10.043423414230347
109,11000,2,1.9450149536132808,0.14103460311889648,5.834800958633423,2.0913546085357666,300,9.9208505153656
110,12000,2,1.8658795356750488,0.1536426544189453,6.366412401199341,2.590308427810669,300,10.385934591293335
111,12000,2,2.1044940948486333,0.2004992961883545,6.617192506790161,2.126949548721313,300,10.922185897827148
112,12000,2,2.867532968521118,0.15366196632385254,7.180812835693359,2.188720941543579,300,12.20200777053833
113,12000,2,3.848369598388672,0.27127504348754883,6.648595094680786,2.1420023441314697,300,12.768239736557007
114,12000,2,2.215430498123169,0.15371036529541016,6.463749885559082,2.2432565689086914,300,10.832890748977661
115,12000,2,2.119731903076172,0.216170072555542,6.933722972869872,2.1908824443817143,300,11.269624948501587
116,12000,2,2.025895357131958,0.2004835605621338,6.933272361755371,2.1656455993652344,300,11.159651279449463
117,12000,2,1.959698915481568,0.15365862846374512,6.263384580612183,2.128015756607056,300,10.376742124557495
118,12000,2,1.9188377857208248,0.16276979446411133,7.8026578426361075,3.0297298431396484,300,11.884265422821045
119,12000,2,2.4906554222106934,0.19805359840393064,7.832016468048098,2.520790100097656,300,12.520725488662723
120,13000,2,2.451726198196411,0.1896066665649414,8.347951889038086,2.5989277362823486,300,12.989284753799438
121,13000,2,2.679370164871216,0.1817235946655273,8.210249662399294,2.486001968383789,300,13.071343421936037
122,13000,2,2.538970232009888,0.1821391582489013,8.179100513458254,2.700321674346924,300,12.900209903717043
123,13000,2,2.278437376022339,0.19144320487976074,8.368578195571901,2.5856997966766357,300,12.838458776474
124,13000,2,2.4201900959014893,0.19094634056091309,8.11984395980835,2.5315277576446533,300,12.730980396270752
125,13000,2,2.3479151725769043,0.18959617614746094,8.330826044082643,2.5388364791870117,300,12.868337392807009
126,13000,2,2.3514299392700195,0.1902167797088623,8.218541622161865,2.560055017471313,300,12.760188341140747
127,13000,2,2.3092904090881348,0.191253662109375,8.049977540969849,2.5561468601226807,300,12.550521612167358
128,13000,2,2.4999980926513667,0.1909637451171875,8.418951749801638,2.681910991668701,300,13.109913587570192
129,13000,2,2.430348873138428,0.18934297561645508,8.039369106292725,2.5510683059692383,300,12.659060955047607
130,14000,2,2.9997329711914062,0.21919488906860352,8.591511726379395,2.651363611221313,300,13.810439586639404
131,14000,2,2.9884934425354004,0.21185970306396484,8.608164072036741,2.560025453567505,300,13.808517217636107
132,14000,2,2.9512619972229004,0.21015334129333496,8.628449201583862,2.6401309967041016,300,13.789864540100098
133,14000,2,3.160423755645752,0.21796226501464844,8.641516208648683,2.6107099056243896,300,14.019902229309084
134,14000,2,3.6996235847473145,0.2278733253479004,8.871256589889525,2.58103346824646,300,14.79875349998474
135,14000,2,2.949110507965088,0.2097611427307129,8.621817827224731,2.5798139572143555,300,13.780689477920532
136,14000,2,2.9495933055877686,0.2120063304901123,8.749879837036133,2.6098854541778564,300,13.911479473114014
137,14000,2,2.9704034328460693,0.2297720909118653,8.618733406066895,2.549842357635498,300,13.818908929824829
138,14000,2,2.909924030303955,0.248640775680542,8.601272106170653,2.5657379627227783,300,13.75983691215515
139,14000,2,2.9303557872772217,0.21061182022094727,8.519808292388916,2.597564935684204,300,13.660775899887085
140,15000,2,3.2893757820129395,0.2302961349487305,9.118505954742432,2.6287312507629395,300,14.638177871704102
141,15000,2,3.9137988090515137,0.2851026058197021,10.118277788162233,3.5273399353027344,300,16.317179203033447
142,15000,2,2.66551160812378,0.26964592933654785,18.50021433830261,4.622373819351196,300,23.435371875762936
143,15000,2,5.1667139530181885,0.4505529403686523,16.45041036605835,4.7912421226501465,300,24.06767725944519
144,15000,2,4.91877007484436,0.4022345542907715,15.175718069076538,3.851656198501587,300,22.49672269821167
